state,year,cpi,population,packs,income,tax,price,taxs
AL,1985,1.075999975,3973000,116.4862823,46014968,32.50000381,102.1816711,33.34833527
AR,1985,1.075999975,2327000,128.5345917,26210736,37,101.4749985,37
AZ,1985,1.075999975,3184000,104.5226135,43956936,31,108.5787506,36.17041779
CA,1985,1.075999975,26444000,100.3630371,447102816,26,107.8373413,32.10400009
CO,1985,1.075999975,3209000,112.9635391,49466672,31,94.2666626,31
CT,1985,1.075999975,3201000,109.2783508,60063368,42,128.0249939,51.48333359
DE,1985,1.075999975,618000,143.8511353,9927301,30,102.4916611,30
FL,1985,1.075999975,11352000,122.1811218,166919248,37,115.2900009,42.49000168
GA,1985,1.075999975,5963000,127.2346191,78364336,28,97.02516937,28.84183311
IA,1985,1.075999975,2830000,113.7455826,37902896,34,101.8420029,37.91699982
ID,1985,1.075999975,994000,103.0181122,11577261,25.10000038,102.8993301,29.05766678
IL,1985,1.075999975,11401000,123.2084808,176786352,28.00000572,104.4402542,28.9152565
IN,1985,1.075999975,5460000,137.6373749,71751616,26.5,96.18000031,31.07999992
KS,1985,1.075999975,2428000,116.680397,34784360,32,98.9229126,34.88124847
KY,1985,1.075999975,3695000,186.0351868,42703144,19,87.00125122,23.14291763
LA,1985,1.075999975,4409000,127.5572662,53431900,32,108.3939972,36.16899872
MA,1985,1.075999975,5881000,115.677597,98328688,42,112.2083359,42
MD,1985,1.075999975,4414000,120.9787064,74851664,29,91.96666718,29
ME,1985,1.075999975,1163000,128.1169434,14575292,36,107.0475006,41.09749985
MI,1985,1.075999975,9077000,128.0048523,133728040,37,104.9141693,37.83083344
MN,1985,1.075999975,4185000,112.9032288,63152360,34,113.6496658,40.43299866
MO,1985,1.075999975,5001000,130.3739319,69341920,29.00000381,99.33816528,29.85483742
MS,1985,1.075999975,2588000,117.040184,25678534,27.58333206,105.293335,33.54333115
MT,1985,1.075999975,822000,104.2579041,9785230,32,99.29166412,32
NC,1985,1.075999975,6255000,155.2837677,79104656,18,84.96799469,21.26799965
ND,1985,1.075999975,677000,105.4652863,8672948,34,106.8079987,38.10800171
NE,1985,1.075999975,1585000,107.3817062,21778072,34,104.6066666,38.0233345
NH,1985,1.075999975,997000,197.993988,15767469,33,95.5,33
NJ,1985,1.075999975,7566000,116.5212784,133549208,41,110.4166641,41
